GISJOIN,STATE,STATEA,COUNTY,COUNTYA,A08AA1820,A08AA1830,A08AA1840,A08AA1850,A08AA1860,A08AA1870,A08AA1880,A08AA1890,A08AA1900,A08AA1910,A08AA1920,A08AA1930,A08AA1940,A08AA1950,A08AA1960,A08AA1970,A08AA1980,A08AA1990,A08AA2000,A08AA2010,A08AB1820,A08AB1830,A08AB1840,A08AB1850,A08AB1860,A08AB1870,A08AB1880,A08AB1890,A08AB1900,A08AB1910,A08AB1920,A08AB1930,A08AB1940,A08AB1950,A08AB1960,A08AB1970,A08AB1980,A08AB1990,A08AB2000,A08AB2010
"G0100010","Alabama","010","Autauga County","0010",2041,6263,7263,7590,8300,5656,6451,6578,8852,9889,9298,9812,10413,8815,9021,11947,15848,16653,21221,26569,1812,5611,7079,7433,8439,5967,6657,6752,9063,10149,9610,9882,10564,9371,9718,12513,16411,17569,22450,28002
"G0100015","Alabama","010","Baker County","0015",,,,,,3061,,,,,,,,,,,,,,,,,,,,3133,,,,,,,,,,,,,,
"G0100030","Alabama","010","Baldwin County","0030",907,1291,1620,2419,4438,3085,4430,4553,6778,9561,10668,14585,16667,20714,24514,29032,38359,47741,68848,89196,806,1033,1331,1995,3092,2919,4173,4388,6416,8617,10062,13704,15657,20283,24574,30350,40197,50539,71567,93069
"G0100050","Alabama","010","Barbour County","0050",,,6125,11872,15506,14258,16774,16490,16931,15886,15574,15786,15769,13804,11636,10427,11668,12085,14970,14576,,,5899,11760,15306,15051,17205,18408,18221,16842,16493,16639,16953,15088,13064,12116,13088,13332,14068,12881
"G0100055","Alabama","010","Benton County","0055",,,7269,8710,,,,,,,,,,,,,,,,,,,6991,8453,,,,,,,,,,,,,,,,
"G0100070","Alabama","010","Bibb County","0070",,3241,4246,5095,5953,3680,4664,7122,9691,12103,11908,10814,10265,8999,7093,6754,7628,8107,10745,12301,,3065,4038,4874,5941,3789,4823,6702,8807,10688,11236,9966,9890,8988,7264,7058,8095,8469,10081,10614
"G0100090","Alabama","010","Blount County","0090",1228,2139,2797,3719,5463,4863,7644,11176,11741,10954,12944,14376,15199,14757,12718,13242,18043,19159,25476,28362,1187,2094,2773,3648,5402,5082,7725,10751,11378,10502,12594,13644,14291,14218,12731,13611,18416,20089,25548,28960
"G0100110","Alabama","010","Bullock County","0110",,,,,,12295,14345,13281,15620,14718,12239,9588,9478,7659,6378,5500,4880,5335,6140,5912,,,,,,12179,14721,13782,16324,15478,13094,10428,10332,8395,7084,6324,5716,5707,5574,5002
"G0100130","Alabama","010","Butler County","0130",730,2875,4391,5424,9318,7266,9483,10639,12803,14300,14418,14614,15894,14275,11738,10356,10097,10239,10019,9838,675,2775,4294,5412,8804,7715,10166,11002,12958,14730,15113,15581,16553,14953,12822,11651,11583,11653,11380,11109
"G0100135","Alabama","010","Cahawba County","0135",1924,,,,,,,,,,,,,,,,,,,,1752,,,,,,,,,,,,,,,,,,,
"G0100150","Alabama","010","Calhoun County","0150",,,,,10742,6815,9836,17486,17478,19389,23818,27597,31341,39149,46601,49722,58681,56058,53702,57176,,,,,10797,7165,9755,16349,17396,19726,24004,28014,31978,40390,49277,53370,61080,59976,58547,61396
"G0100170","Alabama","010","Chambers County","0170",,,8823,12173,11697,8459,11517,13013,16132,17835,20191,19195,20693,19045,18085,17227,18469,17385,17285,16363,,,8510,11787,11517,9103,11923,13306,16422,18221,21010,20118,21453,20483,19743,19129,20722,19491,19298,17852
