GISJOIN,STATE,STATEA,A08AA1820,A08AA1830,A08AA1840,A08AA1850,A08AA1860,A08AA1870,A08AA1880,A08AA1890,A08AA1900,A08AA1910,A08AA1920,A08AA1930,A08AA1940,A08AA1950,A08AA1960,A08AA1970,A08AA1980,A08AA1990,A08AA2000,A08AA2010,A08AB1820,A08AB1830,A08AB1840,A08AB1850,A08AB1860,A08AB1870,A08AB1880,A08AB1890,A08AB1900,A08AB1910,A08AB1920,A08AB1930,A08AB1940,A08AB1950,A08AB1960,A08AB1970,A08AB1980,A08AB1990,A08AB2000,A08AB2010
"G010","Alabama","010",67937,160860,305082,392343,489291,488738,622629,757456,916764,1074209,1173105,1315009,1399901,1502640,1591709,1661941,1871534,1936162,2146504,2320188,59964,148667,285674,379280,474910,508254,639876,755561,911933,1063884,1175069,1331239,1433060,1559103,1675031,1782224,2022354,2104425,2300596,2459548
"G020","Alaska","020",,,,,,,,,,,,,,,128811,163258,213041,289867,324112,369628,,,,,,,,,,,,,,,97356,137124,188810,260176,302820,340603
"G025","Alaska Territory","025",,,,,,,,19248,45872,45857,34539,35764,43003,79472,,,,,,,,,,,,,,12804,17720,18499,20497,23514,29521,49171,,,,,,
"G040","Arizona","040",,,,,,,,,,,183602,231304,258170,379059,654928,871006,1337942,1810691,2561057,3175823,,,,,,,,,,,150560,204269,241091,370528,647233,899894,1380273,1854537,2569575,3216194
"G045","Arizona Territory","045",,,,,,6887,28202,36571,71795,118574,,,,,,,,,,,,,,,,2771,12238,23049,51136,85780,,,,,,,,,,
"G050","Arkansas","050",,,52578,109846,227747,248261,416279,585755,675312,810026,895228,939843,982916,951534,878987,932310,1104688,1133076,1304693,1431637,,,44996,100051,207703,236210,386246,542424,636252,764423,856976,914639,966471,957977,907285,990985,1181747,1217649,1368707,1484281
"G055","Arkansas Territory","055",7835,16576,,,,,,,,,,,,,,,,,,,6420,13812,,,,,,,,,,,,,,,,,,
"G060","California","060",,,,85580,273337,349479,518176,700059,820531,1322978,1813591,2942595,3515730,5295629,7836707,9816685,11666485,14897627,16874892,18517830,,,,7017,106657,210768,346518,508071,664522,1054571,1613270,2734656,3391657,5290594,7880497,10136449,12001417,14862394,16996756,18736126
"G080","Colorado","080",,,,,,,129131,245247,295332,430697,492731,530752,568778,665149,870467,1089377,1434293,1631295,2165983,2520662,,,,,,,65196,166951,244368,368327,446898,505039,554518,659940,883480,1117882,1455671,1663099,2135278,2508534
"G085","Colorado Territory","085",,,,,32691,24820,,,,,,,,,,,,,,,,,,,1586,15044,,,,,,,,,,,,,,
"G090","Connecticut","090",134581,146905,152199,183704,225994,265270,305782,369538,454294,563642,695335,801303,849923,988497,1244229,1470487,1498005,1592873,1649319,1739614,140541,150770,157779,187088,234153,272184,316918,376720,454126,551114,685296,805600,859319,1018783,1291005,1561222,1609571,1694243,1756246,1834483
"G095","Dakota Territory","095",,,,,2797,8878,82296,,,,,,,,,,,,,,,,,,2040,5303,52881,,,,,,,,,,,,,
"G100","Delaware","100",36939,38533,39256,45955,56689,62628,74108,85573,94158,103435,113755,121257,134333,157344,221136,267332,286599,322968,380541,434939,35810,38215,38829,45577,55527,62387,72500,82920,90577,98887,109248,117123,132172,160741,225156,280772,307739,343200,403059,462995
"G110","District Of Columbia","110",15909,19144,20333,24164,35499,62192,83578,109584,132004,158050,203543,231883,317522,377918,358171,351491,295417,282970,269366,284222,17130,20690,23379,27523,39581,69508,94046,120808,146714,173019,234028,254986,345569,424260,405785,405019,342916,323930,302693,317501
"G120","Florida","120",,,,45927,72930,94548,136444,201947,275246,394166,495320,737675,943123,1366917,2436783,3275571,4675626,6261719,7797715,9189355,,,,41518,67494,93200,133049,189475,253296,358453,473150,730536,954291,1404388,2514777,3513872,5070698,6676207,8184663,9611955
"G125","Florida Territory","125",,18604,29892,,,,,,,,,,,,,,,,,,,16126,24585,,,,,,,,,,,,,,,,,
"G130","Georgia","130",175171,263366,351243,456465,531945,578955,762981,919925,1103201,1305019,1444823,1434527,1534758,1688667,1925913,2230696,2640445,3144503,4027113,4729171,165814,253457,340149,449720,525341,605154,779199,917428,1113130,1304102,1451009,1473979,1588965,1755911,2017203,2358879,2822660,3333713,4159340,4958482
"G150","Hawaii","150",,,,,,,,,,,,,,,338173,399205,494683,563891,608671,681243,,,,,,,,,,,,,,,294599,369356,470008,544338,602866,679058
"G155","Hawaii Territory","155",,,,,,,,,106369,123099,151146,222640,245135,273895,,,,,,,,,,,,,,,47632,68810,104766,145696,178195,225899,,,,,,
"G160","Idaho","160",,,,,,,,51290,93367,185546,233919,237347,276579,303237,338421,355750,471155,500956,648660,785324,,,,,,,,33095,68405,140048,197947,207685,248294,285400,328770,356817,472780,505793,645293,782258
"G165","Idaho Territory","165",,,,,,12184,21818,,,,,,,,,,,,,,,,,,,2815,10792,,,,,,,,,,,,,
"G170","Illinois","170",30186,83219,257279,448321,902761,1316537,1586523,1972308,2472782,2911674,3304833,3873457,3957149,4319251,4952866,5391836,5537537,5552233,6080336,6292276,24976,74226,218904,403149,809190,1223354,1491348,1854043,2348768,2726917,3180447,3757197,3940092,4392925,5128292,5722140,5888981,5878369,6338957,6538356
"G178","Indian Territory","178",,,,,,,,,208952,,,,,,,,,,,,,,,,,,,,183108,,,,,,,,,,,
