GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,A08AA,A08AB
"G0100010","1820","Alabama","010","Autauga","0010","Autauga",2041,1812
"G0100030","1820","Alabama","010","Baldwin","0030","Baldwin",907,806
"G0100090","1820","Alabama","010","Blount","0090","Blount",1228,1187
"G0100130","1820","Alabama","010","Butler","0130","Butler",730,675
"G0100135","1820","Alabama","010","Cahawba","0135","Cahawba",1924,1752
"G0100250","1820","Alabama","010","Clarke","0250","Clarke",3054,2785
"G0100350","1820","Alabama","010","Conecuh","0350","Conecuh",3000,2713
"G0100375","1820","Alabama","010","Cotaco","0375","Cotaco",2681,2582
"G0100470","1820","Alabama","010","Dallas","0470","Dallas",3250,2753
"G0100590","1820","Alabama","010","Franklin","0590","Franklin",2671,2317
"G0100630","1820","Alabama","010","Greene","0630","Greene",2378,2176
"G0100670","1820","Alabama","010","Henry","0670","Henry",1460,1178
"G0100710","1820","Alabama","010","Jackson","0710","Jackson",4540,4211
"G0100770","1820","Alabama","010","Lauderdale","0770","Lauderdale",2698,2265
"G0100790","1820","Alabama","010","Lawrence","0790","Lawrence",4571,4081
"G0100830","1820","Alabama","010","Limestone","0830","Limestone",5168,4703
"G0100890","1820","Alabama","010","Madison","0890","Madison",9418,8063
"G0100910","1820","Alabama","010","Marengo","0910","Marengo",1575,1358
"G0100970","1820","Alabama","010","Mobile","0970","Mobile",1637,1035
"G0100990","1820","Alabama","010","Monroe","0990","Monroe",4652,4186
"G0101010","1820","Alabama","010","Montgomery","1010","Montgomery",3517,3087
"G0101050","1820","Alabama","010","Perry","1050","Perry",1943,1703
"G0101150","1820","Alabama","010","St Clair","1150","St Clair",2201,1965
"G0101170","1820","Alabama","010","Shelby","1170","Shelby",1266,1150
"G0101250","1820","Alabama","010","Tuscaloosa","1250","Tuscaloosa",4277,3952
"G0101290","1820","Alabama","010","Washington","1290","Washington",2373,1745
"G0101310","1820","Alabama","010","Wilcox","1310","Wilcox",1664,1253
"G0550015","1820","Arkansas Territory","055","Arkansas","0015","Arkansas",733,527
"G0550055","1820","Arkansas Territory","055","Clark","0055","Clark",559,481
"G0550135","1820","Arkansas Territory","055","Hempstead","0135","Hempstead",1184,1062
"G0550275","1820","Arkansas Territory","055","Lawrence","0275","Lawrence",3021,2571
"G0550295","1820","Arkansas Territory","055","Miller","0295","Miller",558,441
"G0550335","1820","Arkansas Territory","055","Phillips","0335","Phillips",674,523
"G0550375","1820","Arkansas Territory","055","Pulaski","0375","Pulaski",1106,815
"G0900010","1820","Connecticut","090","Fairfield","0010","Fairfield",21189,21545
"G0900030","1820","Connecticut","090","Hartford","0030","Hartford",23239,24025
"G0900050","1820","Connecticut","090","Litchfield","0050","Litchfield",20314,20859
"G0900070","1820","Connecticut","090","Middlesex","0070","Middlesex",10824,11580
"G0900090","1820","Connecticut","090","New Haven","0090","New Haven",19264,20346
"G0900110","1820","Connecticut","090","New London","0110","New London",17206,18737
"G0900130","1820","Connecticut","090","Tolland","0130","Tolland",7050,7280
"G0900150","1820","Connecticut","090","Windham","0150","Windham",15535,16149
"G1000010","1820","Delaware","100","Kent","0010","Kent",10530,10263
"G1000030","1820","Delaware","100","New Castle","0030","New Castle",14157,13742
"G1000050","1820","Delaware","100","Sussex","0050","Sussex",12252,11805
"G1300010","1820","Georgia","130","Appling","0010","Appling",624,640
"G1300090","1820","Georgia","130","Baldwin","0090","Baldwin",4099,3635
"G1300290","1820","Georgia","130","Bryan","0290","Bryan",1523,1498
"G1300310","1820","Georgia","130","Bulloch","0310","Bulloch",1314,1264
"G1300330","1820","Georgia","130","Burke","0330","Burke",5953,5624
"G1300390","1820","Georgia","130","Camden","0390","Camden",2360,1981
"G1300510","1820","Georgia","130","Chatham","0510","Chatham",7378,7359
"G1300590","1820","Georgia","130","Clarke","0590","Clarke",4472,4295
"G1300730","1820","Georgia","130","Columbia","0730","Columbia",6458,6237
"G1300990","1820","Georgia","130","Early","0990","Early",425,343
"G1301030","1820","Georgia","130","Effingham","1030","Effingham",1642,1376
"G1301050","1820","Georgia","130","Elbert","1050","Elbert",5966,5822
"G1301070","1820","Georgia","130","Emanuel","1070","Emanuel",1479,1449
"G1301190","1820","Georgia","130","Franklin","1190","Franklin",4668,4372
"G1301270","1820","Georgia","130","Glynn","1270","Glynn",1772,1646
"G1301330","1820","Georgia","130","Greene","1330","Greene",6937,6652
"G1301350","1820","Georgia","130","Gwinnett","1350","Gwinnett",2310,2279
"G1301370","1820","Georgia","130","Habersham","1370","Habersham",1640,1505
"G1301390","1820","Georgia","130","Hall","1390","Hall",2555,2531
"G1301410","1820","Georgia","130","Hancock","1410","Hancock",6656,6078
"G1301550","1820","Georgia","130","Irwin","1550","Irwin",199,212
"G1301570","1820","Georgia","130","Jackson","1570","Jackson",4159,4196
"G1301590","1820","Georgia","130","Jasper","1590","Jasper",7617,6997
"G1301630","1820","Georgia","130","Jefferson","1630","Jefferson",3596,3458
"G1301690","1820","Georgia","130","Jones","1690","Jones",8592,7978
"G1301750","1820","Georgia","130","Laurens","1750","Laurens",2777,2659
"G1301790","1820","Georgia","130","Liberty","1790","Liberty",3403,3292
"G1301810","1820","Georgia","130","Lincoln","1810","Lincoln",3341,3117
"G1301910","1820","Georgia","130","McIntosh","1910","Mcintosh",2697,2432
"G1301950","1820","Georgia","130","Madison","1950","Madison",1853,1882
"G1302090","1820","Georgia","130","Montgomery","2090","Montgomery",930,939
"G1302110","1820","Georgia","130","Morgan","2110","Morgan",7013,6507
"G1302210","1820","Georgia","130","Oglethorpe","2210","Oglethorpe",7171,6875
"G1302350","1820","Georgia","130","Pulaski","2350","Pulaski",2762,2521
"G1302370","1820","Georgia","130","Putnam","2370","Putnam",7849,7626
"G1302410","1820","Georgia","130","Rabun","2410","Rabun",265,259
"G1302450","1820","Georgia","130","Richmond","2450","Richmond",4734,3874
"G1302510","1820","Georgia","130","Screven","2510","Screven",2064,1877
"G1302670","1820","Georgia","130","Tattnall","2670","Tattnall",1361,1283
"G1302710","1820","Georgia","130","Telfair","2710","Telfair",1092,1012
"G1302890","1820","Georgia","130","Twiggs","2890","Twiggs",5495,5145
"G1302970","1820","Georgia","130","Walton","2970","Walton",2116,2076
"G1303010","1820","Georgia","130","Warren","3010","Warren",5405,5225
"G1303030","1820","Georgia","130","Washington","3030","Washington",5424,5203
"G1303050","1820","Georgia","130","Wayne","3050","Wayne",515,495
"G1303170","1820","Georgia","130","Wilkes","3170","Wilkes",8942,8664
"G1303190","1820","Georgia","130","Wilkinson","3190","Wilkinson",3568,3424
"G1700030","1820","Illinois","170","Alexander","0030","Alexander",293,333
"G1700050","1820","Illinois","170","Bond","0050","Bond",1572,1359
"G1700230","1820","Illinois","170","Clark","0230","Clark",490,441
"G1700330","1820","Illinois","170","Crawford","0330","Crawford",1568,1431
"G1700470","1820","Illinois","170","Edwards","0470","Edwards",1872,1572
"G1700550","1820","Illinois","170","Franklin","0550","Franklin",909,854
"G1700590","1820","Illinois","170","Gallatin","0590","Gallatin",1829,1326
"G1700770","1820","Illinois","170","Jackson","0770","Jackson",868,674
"G1700810","1820","Illinois","170","Jefferson","0810","Jefferson",388,303
"G1700870","1820","Illinois","170","Johnson","0870","Johnson",439,404
"G1701190","1820","Illinois","170","Madison","1190","Madison",7622,5928
"G1701330","1820","Illinois","170","Monroe","1330","Monroe",841,675
"G1701510","1820","Illinois","170","Pope","1510","Pope",1338,1272
"G1701570","1820","Illinois","170","Randolph","1570","Randolph",1921,1571
"G1701630","1820","Illinois","170","St Clair","1630","St Clair",2959,2289
"G1701810","1820","Illinois","170","Union","1810","Union",1268,1094
"G1701890","1820","Illinois","170","Washington","1890","Washington",855,662
"G1701910","1820","Illinois","170","Wayne","1910","Wayne",576,538
"G1701930","1820","Illinois","170","White","1930","White",2578,2250
"G1800190","1820","Indiana","180","Clark","0190","Clark",4546,4163
"G1800250","1820","Indiana","180","Crawford","0250","Crawford",1380,1203
"G1800270","1820","Indiana","180","Daviess","0270","Daviess",1825,1607
"G1800290","1820","Indiana","180","Dearborn","0290","Dearborn",6072,5396
