GISJOIN,YEAR,STATE,STATEA,NAME,A08AA,A08AB
"G010","1820","Alabama","010","Alabama",67937,59964
"G055","1820","Arkansas Territory","055","Arkansas Territory",7835,6420
"G090","1820","Connecticut","090","Connecticut",134581,140541
"G100","1820","Delaware","100","Delaware",36939,35810
"G110","1820","District Of Columbia","110","District of Columbia",15909,17130
"G130","1820","Georgia","130","Georgia",175171,165814
"G170","1820","Illinois","170","Illinois",30186,24976
"G180","1820","Indiana","180","Indiana",77401,69777
"G210","1820","Kentucky","210","Kentucky",289103,275032
"G220","1820","Louisiana","220","Louisianna",82407,70516
"G230","1820","Maine","230","Maine",149632,148637
"G240","1820","Maryland","240","Maryland",206862,200488
"G250","1820","Massachusetts","250","Massachusetts",255462,267697
"G265","1820","Michigan Territory","265","Michigan Territory",5488,3277
"G280","1820","Mississippi","280","Mississippi",40375,35073
"G295","1820","Missouri Territory","295","Missouri Territory",36528,30029
"G330","1820","New Hampshire","330","New Hampshire",119582,124440
"G340","1820","New Jersey","340","New Jersey",140023,137403
"G360","1820","New York","360","New York",698077,674014
"G370","1820","North Carolina","370","North Carolina",323590,315239
"G390","1820","Ohio","390","Ohio",303061,278234
"G420","1820","Pennsylvania","420","Pennsylvania",531507,516000
"G440","1820","Rhode Island","440","Rhode Island",40097,42918
"G450","1820","South Carolina","450","South Carolina",254702,248039
"G470","1820","Tennessee","470","Tennessee",214848,207913
"G500","1820","Vermont","500","Vermont",117748,118001
"G510","1820","Virginia","510","Virginia",540854,524262
"G010","1830","Alabama","010","Alabama",160860,148667
"G055","1830","Arkansas Territory","055","Arkansas Territory",16576,13812
"G090","1830","Connecticut","090","Connecticut",146905,150770
"G100","1830","Delaware","100","Delaware",38533,38215
"G110","1830","District Of Columbia","110","District of Columbia",19144,20690
"G125","1830","Florida Territory","125","Florida Territory",18604,16126
"G130","1830","Georgia","130","Georgia",263366,253457
"G170","1830","Illinois","170","Illinois",83219,74226
"G180","1830","Indiana","180","Indiana",177742,165289
"G210","1830","Kentucky","210","Kentucky",352084,335833
"G220","1830","Louisiana","220","Louisianna",114856,100673
"G230","1830","Maine","230","Maine",201299,198156
"G240","1830","Maryland","240","Maryland",225688,221352
"G250","1830","Massachusetts","250","Massachusetts",298043,312365
"G265","1830","Michigan Territory","265","Michigan Territory",18349,13290
"G280","1830","Mississippi","280","Mississippi",71853,64768
"G290","1830","Missouri","290","Missouri",74128,66327
"G330","1830","New Hampshire","330","New Hampshire",131459,137869
"G340","1830","New Jersey","340","New Jersey",163089,157734
"G360","1830","New York","360","New York",972920,940086
"G370","1830","North Carolina","370","North Carolina",369828,368159
"G390","1830","Ohio","390","Ohio",484503,453400
"G420","1830","Pennsylvania","420","Pennsylvania",684361,663872
"G440","1830","Rhode Island","440","Rhode Island",46884,50315
"G450","1830","South Carolina","450","South Carolina",289731,291454
"G470","1830","Tennessee","470","Tennessee",347612,334292
"G500","1830","Vermont","500","Vermont",140422,140230
"G510","1830","Virginia","510","Virginia",609351,602054
"G010","1840","Alabama","010","Alabama",305082,285674
"G050","1840","Arkansas","050","Arkansas",52578,44996
"G090","1840","Connecticut","090","Connecticut",152199,157779
"G100","1840","Delaware","100","Delaware",39256,38829
"G110","1840","District Of Columbia","110","District of Columbia",20333,23379
"G125","1840","Florida Territory","125","Florida Territory",29892,24585
"G130","1840","Georgia","130","Georgia",351243,340149
"G170","1840","Illinois","170","Illinois",257279,218904
"G180","1840","Indiana","180","Indiana",356505,329361
"G195","1840","Iowa Territory","195","Iowa Territory",24355,18757
"G210","1840","Kentucky","210","Kentucky",400088,379740
"G220","1840","Louisiana","220","Louisianna",187802,164609
"G230","1840","Maine","230","Maine",253709,248084
"G240","1840","Maryland","240","Maryland",234059,235960
"G250","1840","Massachusetts","250","Massachusetts",365333,372366
"G260","1840","Michigan","260","Michigan",113788,98479
"G280","1840","Mississippi","280","Mississippi",195974,179677
"G290","1840","Missouri","290","Missouri",203095,180607
"G330","1840","New Hampshire","330","New Hampshire",139252,145322
"G340","1840","New Jersey","340","New Jersey",188138,185168
"G360","1840","New York","360","New York",1231166,1197755
"G370","1840","North Carolina","370","North Carolina",374820,378599
"G390","1840","Ohio","390","Ohio",784102,735365
"G420","1840","Pennsylvania","420","Pennsylvania",867557,856476
"G440","1840","Rhode Island","440","Rhode Island",52776,56054
"G450","1840","South Carolina","450","South Carolina",293038,301360
"G470","1840","Tennessee","470","Tennessee",419707,409503
"G500","1840","Vermont","500","Vermont",146742,145206
"G510","1840","Virginia","510","Virginia",623702,616095
"G555","1840","Wisconsin Territory","555","Wisconsin Territory",18862,12083
"G010","1850","Alabama","010","Alabama",392343,379280
"G050","1850","Arkansas","050","Arkansas",109846,100051
"G060","1850","California","060","California",85580,7017
"G090","1850","Connecticut","090","Connecticut",183704,187088
"G100","1850","Delaware","100","Delaware",45955,45577
"G110","1850","District Of Columbia","110","District of Columbia",24164,27523
"G120","1850","Florida","120","Florida",45927,41518
"G130","1850","Georgia","130","Georgia",456465,449720
"G170","1850","Illinois","170","Illinois",448321,403149
"G180","1850","Indiana","180","Indiana",511893,476523
"G190","1850","Iowa","190","Iowa",101052,91162
"G210","1850","Kentucky","210","Kentucky",502730,479675
"G220","1850","Louisiana","220","Louisianna",274596,243166
"G230","1850","Maine","230","Maine",297471,285698
"G240","1850","Maryland","240","Maryland",292323,290711
"G250","1850","Massachusetts","250","Massachusetts",488517,505997
"G260","1850","Michigan","260","Michigan",209896,187758
"G275","1850","Minnesota Territory","275","Minnesota Territory",3716,2361
"G280","1850","Mississippi","280","Mississippi",311724,294802
"G290","1850","Missouri","290","Missouri",357832,324212
"G330","1850","New Hampshire","330","New Hampshire",156220,161756
"G340","1850","New Jersey","340","New Jersey",245346,244209
"G355","1850","New Mexico Territory","355","New Mexico Territory",31742,29805
"G360","1850","New York","360","New York",1567941,1529453
"G370","1850","North Carolina","370","North Carolina",430904,438135
"G390","1850","Ohio","390","Ohio",1016808,963521
"G413","1850","Oregon Territory","413","Oregon Territory",8258,5036
"G420","1850","Pennsylvania","420","Pennsylvania",1168103,1143683
"G440","1850","Rhode Island","440","Rhode Island",72078,75467
"G450","1850","South Carolina","450","South Carolina",329634,338873
"G470","1850","Tennessee","470","Tennessee",504132,498585
"G480","1850","Texas","480","Texas",113780,98812
"G495","1850","Utah Territory","495","Utah Territory",6046,5334
"G500","1850","Vermont","500","Vermont",160033,154087
"G510","1850","Virginia","510","Virginia",717864,703797
"G550","1850","Wisconsin","550","Wisconsin",164716,140675
"G010","1860","Alabama","010","Alabama",489291,474910
"G050","1860","Arkansas","050","Arkansas",227747,207703
"G060","1860","California","060","California",273337,106657
"G085","1860","Colorado Territory","085","Colorado Territory",32691,1586
"G090","1860","Connecticut","090","Connecticut",225994,234153
"G095","1860","Dakota Territory","095","Dakota Territory",2797,2040
"G100","1860","Delaware","100","Delaware",56689,55527
"G110","1860","District Of Columbia","110","District of Columbia",35499,39581
"G120","1860","Florida","120","Florida",72930,67494
"G130","1860","Georgia","130","Georgia",531945,525341
"G170","1860","Illinois","170","Illinois",902761,809190
"G180","1860","Indiana","180","Indiana",699260,651168
"G190","1860","Iowa","190","Iowa",354493,320420
"G205","1860","Kansas Territory","205","Kansas Territory",59178,48028
"G210","1860","Kentucky","210","Kentucky",592321,563363
"G220","1860","Louisiana","220","Louisianna",369994,338008
"G230","1860","Maine","230","Maine",317189,311090
"G240","1860","Maryland","240","Maryland",340898,346151
"G250","1860","Massachusetts","250","Massachusetts",596713,634353
"G260","1860","Michigan","260","Michigan",394694,354419
"G270","1860","Minnesota","270","Minnesota",93084,78939
"G280","1860","Mississippi","280","Mississippi",405948,385357
"G290","1860","Missouri","290","Missouri",622201,559811
"G315","1860","Nebraska Territory","315","Nebraska Territory",16760,12081
"G325","1860","Nevada Territory","325","Nevada Territory",6137,720
"G330","1860","New Hampshire","330","New Hampshire",159816,166257
"G340","1860","New Jersey","340","New Jersey",335051,336984
"G355","1860","New Mexico Territory","355","New Mexico Territory",49091,44425
"G360","1860","New York","360","New York",1933532,1947203
"G370","1860","North Carolina","370","North Carolina",495616,497006
"G390","1860","Ohio","390","Ohio",1190162,1149349
"G410","1860","Oregon","410","Oregon",31591,20874
"G420","1860","Pennsylvania","420","Pennsylvania",1454419,1451796
"G440","1860","Rhode Island","440","Rhode Island",84133,90487
"G450","1860","South Carolina","450","South Carolina",347320,356388
"G470","1860","Tennessee","470","Tennessee",562718,547083
"G480","1860","Texas","480","Texas",320167,284048
"G495","1860","Utah Territory","495","Utah Territory",20255,20018
"G500","1860","Vermont","500","Vermont",158786,156312
"G510","1860","Virginia","510","Virginia",806101,790217
"G535","1860","Washington Territory","535","Washington Territory",8446,3148
"G550","1860","Wisconsin","550","Wisconsin",407449,368432
"G010","1870","Alabama","010","Alabama",488738,508254
"G045","1870","Arizona Territory","045","Arizona Territory",6887,2771
"G050","1870","Arkansas","050","Arkansas",248261,236210
"G060","1870","California","060","California",349479,210768
"G085","1870","Colorado Territory","085","Colorado Territory",24820,15044
"G090","1870","Connecticut","090","Connecticut",265270,272184
"G095","1870","Dakota Territory","095","Dakota Territory",8878,5303
"G100","1870","Delaware","100","Delaware",62628,62387
"G110","1870","District Of Columbia","110","District of Columbia",62192,69508
"G120","1870","Florida","120","Florida",94548,93200
"G130","1870","Georgia","130","Georgia",578955,605154
"G165","1870","Idaho Territory","165","Idaho Territory",12184,2815
"G170","1870","Illinois","170","Illinois",1316537,1223354
"G180","1870","Indiana","180","Indiana",857994,822643
"G190","1870","Iowa","190","Iowa",625917,568103
"G200","1870","Kansas","200","Kansas",202224,162175
"G210","1870","Kentucky","210","Kentucky",665675,655336
"G220","1870","Louisiana","220","Louisianna",362165,364750
"G230","1870","Maine","230","Maine",313103,313812
"G240","1870","Maryland","240","Maryland",384984,395910
"G250","1870","Massachusetts","250","Massachusetts",703779,753572
"G260","1870","Michigan","260","Michigan",617745,566314
"G270","1870","Minnesota","270","Minnesota",235299,204407
"G280","1870","Mississippi","280","Mississippi",413421,414501
"G290","1870","Missouri","290","Missouri",896347,824948
"G305","1870","Montana Territory","305","Montana Territory",16771,3824
"G310","1870","Nebraska","310","Nebraska",70425,52568
"G320","1870","Nevada","320","Nevada",32379,10112
"G330","1870","New Hampshire","330","New Hampshire",155640,162660
"G340","1870","New Jersey","340","New Jersey",449672,456424
"G355","1870","New Mexico Territory","355","New Mexico Territory",47135,44739
"G360","1870","New York","360","New York",2163229,2219530
"G370","1870","North Carolina","370","North Carolina",518704,552657
"G390","1870","Ohio","390","Ohio",1337550,1327710
"G410","1870","Oregon","410","Oregon",53131,37792
"G420","1870","Pennsylvania","420","Pennsylvania",1758499,1763452
"G440","1870","Rhode Island","440","Rhode Island",104756,112597
"G450","1870","South Carolina","450","South Carolina",343902,361704
"G470","1870","Tennessee","470","Tennessee",623347,635173
"G480","1870","Texas","480","Texas",423557,395022
"G495","1870","Utah Territory","495","Utah Territory",44121,42665
"G500","1870","Vermont","500","Vermont",165721,164830
"G510","1870","Virginia","510","Virginia",597058,628105
"G535","1870","Washington Territory","535","Washington Territory",14990,8965
"G540","1870","West Virginia","540","West Virginia",222843,219171
"G550","1870","Wisconsin","550","Wisconsin",544886,509784
"G565","1870","Wyoming Territory","565","Wyoming Territory",7219,1899
"G010","1880","Alabama","010","Alabama",622629,639876
"G025","1880","Alaska Territory","025","Alaska Territory",,
"G045","1880","Arizona Territory","045","Arizona Territory",28202,12238
"G050","1880","Arkansas","050","Arkansas",416279,386246
"G060","1880","California","060","California",518176,346518
"G080","1880","Colorado","080","Colorado",129131,65196
"G090","1880","Connecticut","090","Connecticut",305782,316918
"G095","1880","Dakota Territory","095","Dakota Territory",82296,52881
"G100","1880","Delaware","100","Delaware",74108,72500
"G110","1880","District Of Columbia","110","District of Columbia",83578,94046
"G120","1880","Florida","120","Florida",136444,133049
"G130","1880","Georgia","130","Georgia",762981,779199
"G165","1880","Idaho Territory","165","Idaho Territory",21818,10792
"G170","1880","Illinois","170","Illinois",1586523,1491348
"G180","1880","Indiana","180","Indiana",1010361,967940
"G190","1880","Iowa","190","Iowa",848136,776479
"G200","1880","Kansas","200","Kansas",536667,459429
"G210","1880","Kentucky","210","Kentucky",832590,816100
"G220","1880","Louisiana","220","Louisianna",468754,471192
"G230","1880","Maine","230","Maine",324058,324878
"G240","1880","Maryland","240","Maryland",462187,472756
"G250","1880","Massachusetts","250","Massachusetts",858440,924645
"G260","1880","Michigan","260","Michigan",862355,774582
"G270","1880","Minnesota","270","Minnesota",419149,361624
"G280","1880","Mississippi","280","Mississippi",567177,564420
"G290","1880","Missouri","290","Missouri",1127187,1041193
"G305","1880","Montana Territory","305","Montana Territory",28177,10982
"G310","1880","Nebraska","310","Nebraska",249241,203161
"G320","1880","Nevada","320","Nevada",42019,20247
"G330","1880","New Hampshire","330","New Hampshire",170526,176465
"G340","1880","New Jersey","340","New Jersey",559922,571194
"G355","1880","New Mexico Territory","355","New Mexico Territory",64496,55069
"G360","1880","New York","360","New York",2505322,2577549
